County_ID,County,PA_Region,Year,ETANF,Snap_January ,SNAP_July,Medicaid,SSI,WIC,CHIP,LFPR,U_Rate,Med_Income,ED_Attain_HSandAbove,Ed_Attain_BAandAbove,Employ_TR,Pov_Rate,Population
3,Allegheny,West,2012,"1,556","84,324","83,770","195,757","36,450",,"13,524",93,7,"$50,831 ",93.6,36.8,,12.8,"1,230,870"
7,Beaver,West,2012,20,"13,085","12,751","29,663","5,076",,"2,362",92.5,7.5,"$46,933 ",91.5,21.3,,11.4,"170,095"
11,Berks,West,2012,139,"28,290","28,264","74,252","10,342",,"7,016",92.3,7.7,"$52,058 ",85.1,22.1,,14.6,"413,522"
13,Blair,Central,2012,27,"10,037","10,045","25,841","4,969",,"2,267",92.6,7.4,"$41,154 ",91.3,17.8,,12.8,"126,593"
17,Bucks,Southeast,2012,33,"18,919","19,006","55,627","7,112",,"8,620",92.8,7.2,"$75,378 ",93.1,36.4,,5.4,"625,572"
19,Butler,West,2012,15,"8,279","8,096","20,681","3,422",,"2,723",93.6,6.4,"$57,346 ",92.4,29.7,,-,"184,854"
21,Cambria,Central,2012,35,"10,907","10,874","26,205","5,173",,"2,462",91.2,8.8,"$39,724 ",90.9,18.3,,14.5,"141,518"
29,Chester,Southeast,2012,44,"11,221","11,521","37,098","4,133",,"6,310",94.4,5.6,"$82,456 ",94.1,49,,7.6,"506,283"
39,Crawford,West,2012,15,"7,031","6,817","17,521","3,145",,"1,358",92.4,7.6,"$41,756 ",88.7,20,,15.4,"87,754"
43,Dauphin,Southeast,2012,145,"18,129","18,061","45,811","7,448",,"3,641",92.6,7.4,"$52,096 ",89.6,28.1,,13.4,"269,940"
45,Delaware,Southeast,2012,310,"30,204","30,695","85,468","12,505",,"8,247",92.3,7.7,"$60,900 ",92.7,35.2,,11.8,"560,782"
49,Erie,West,2012,174,"26,423","26,008","64,213","11,337",,"3,956",92.2,7.8,"$45,935 ",92.2,25.2,,15.8,"281,503"
51,Fayette,West,2012,58,"15,670","15,387","34,661","8,889",,"2,243",90.1,9.9,"$38,740 ",86.4,14,,16.5,"135,254"
55,Franklin,Southeast,2012,0,"6,648","6,769","19,440","2,700",,"3,445",93,7,"$51,890 ",85.8,20,,13.5,"151,477"
59,Greene,West,2012,16,"3,508","3,402","8,014","1,895",,493,92.7,7.3,"$42,819 ",85.1,15,,-,"37,968"
69,Lackawanna,Northeast,2012,31,"16,065","16,247","38,850","6,909",,"3,028",91.2,8.8,"$43,002 ",89.8,25.5,,14.7,"214,175"
71,Lancaster,Central,2012,115,"24,765","24,643","71,730","9,934",,"9,522",93.5,6.5,"$54,748 ",84.2,24.5,,11.8,"526,870"
73,Lawrence,West,2012,29,"8,333","8,105","17,865","3,571",,"1,475",92.1,7.9,"$43,346 ",89.6,20.8,,14.2,"89,860"
75,Lebanon,Southeast,2012,0,"7,463","7,438","20,064","2,452",,"2,248",93.3,6.7,"$51,490 ",86,18.8,,13,"135,468"
77,Lehigh,Southeast,2012,102,"19,841","20,157","60,582","10,427",,"6,841",91.5,8.5,"$53,457 ",87.7,28.7,,11.9,"354,920"
79,Luzerne,Northeast,2012,50,"25,947","25,987","62,338","10,133",,"4,597",90.2,9.8,"$42,244 ",89,20.6,,16.4,"321,154"
81,Lycoming,Northeast,2012,43,"7,305","7,198","19,632","3,395",,"1,646",92.1,7.9,"$45,306 ",89.1,19,,12.9,"117,188"
83,McKean,Northeast,2012,14,"3,466","3,397","9,037","1,707",,621,91.6,8.4,"$40,621 ",88.9,15.2,,-,"43,099"
85,Mercer,West,2012,39,"9,880","9,851","23,736","4,308",,"1,379",92.4,7.6,"$41,889 ",90,20.1,,13,"115,641"
91,Montgomery,Southeast,2012,74,"23,450","23,959","70,170","8,239",,"10,234",93.6,6.4,"$76,924 ",94.4,46.5,,6.5,"808,912"
95,Northampton,Southeast,2012,42,"13,983","14,202","38,527","6,012",,"4,691",91.9,8.1,"$55,483 ",90,25.4,,10.9,"299,171"
101,Philadelphia,Southeast,2012,"6,627","241,492","242,623","521,745","111,263",,"25,890",89.1,10.9,"$35,518 ",82.2,24.3,,26.9,"1,551,944"
107,Schuylkill,Northeast,2012,0,"10,728","10,713","26,482","3,835",,"2,190",90.3,9.7,"$44,430 ",86.2,13.3,,15.2,"147,023"
125,Washington,West,2012,19,"12,278","11,927","30,152","5,558",,"2,827",92.8,7.2,"$53,545 ",91.7,26.4,,10.5,"208,230"
129,Westmoreland,West,2012,37,"21,423","21,135","52,817","8,984",,"5,410",92.6,7.4,"$49,642 ",91.8,25.8,,10.8,"362,891"
133,York,Southeast,2012,104,"22,276","22,391","59,794","8,579",,"7,715",92.6,7.4,"$55,646 ",88.5,22,,10.7,"437,483"
3,Allegheny,West,2013,"1,484","82,261","84,439","195,231","36,537",,"12,765",93.5,6.5,"$51,400 ",93.7,38.7,,13.8,"1,233,892"
7,Beaver,West,2013,27,"12,507","12,801","29,609","5,058",,"2,171",92.8,7.2,"$49,215 ",92,25.1,,10.6,"169,832"
11,Berks,West,2013,119,"27,975","28,584","74,224","10,609",,"7,066",92.9,7.1,"$55,634 ",84.4,22.5,,14.4,"414,011"
13,Blair,Central,2013,28,"10,025","10,248","26,007","4,916",,"2,136",93,7,"$41,756 ",90.8,19.7,,16.5,"125,977"
17,Bucks,Southeast,2013,33,"18,491","18,904","56,024","7,259",,"8,599",93.4,6.6,"$73,662 ",93.7,37.5,,6.1,"625,321"
19,Butler,West,2013,15,"7,947","8,014","20,696","3,406",,"2,467",93.8,6.2,"$58,430 ",92.7,30.5,,,"185,015"
21,Cambria,Central,2013,32,"10,925","11,161","26,385","5,171",,"2,248",91.3,8.7,"$40,930 ",89.8,18.7,,16.4,"138,749"
29,Chester,Southeast,2013,34,"11,315","11,886","38,290","4,241",,"6,167",94.7,5.3,"$83,775 ",93.1,49.1,,7,"509,388"
39,Crawford,West,2013,19,"6,859","6,761","17,051","3,115",,"1,323",92.8,7.2,"$43,793 ",86.6,19.2,,13.9,"87,579"
43,Dauphin,Southeast,2013,158,"17,397","18,325","46,865","7,623",,"3,719",93.2,6.8,"$53,480 ",90.1,29,,14.1,"271,420"
45,Delaware,Southeast,2013,284,"29,919","30,885","86,040","12,612",,"8,121",92.9,7.1,"$64,186 ",92,35.7,,10.8,"561,609"
49,Erie,West,2013,153,"26,092","26,599","63,990","11,500",,"3,652",92.6,7.4,"$44,223 ",89.8,26.6,,18.3,"280,647"
51,Fayette,West,2013,55,"15,102","15,476","34,588","8,823",,"2,135",90.4,9.6,"$37,929 ",86.3,13.9,,19.3,"134,586"
55,Franklin,Southeast,2013,0,"6,729","6,879","19,858","2,729",,"3,373",93.4,6.6,"$53,913 ",86.5,19.1,,12.9,"151,855"
59,Greene,West,2013,17,"3,324","3,296","7,746","1,863",,504,92.8,7.2,"$45,156 ",85.1,15.5,,-,"37,763"
69,Lackawanna,Northeast,2013,34,"16,293","16,898","39,585","6,787",,"2,922",91.7,8.3,"$44,926 ",89.9,26.3,,14.9,"213,675"
71,Lancaster,Central,2013,106,"24,534","24,812","72,579","10,166",,"9,304",94,6,"$56,766 ",83.6,26.1,,10.4,"530,149"
73,Lawrence,West,2013,44,"8,060","8,169","17,812","3,549",,"1,393",92.5,7.5,"$43,199 ",89.5,18.6,,12.8,"89,337"
75,Lebanon,Southeast,2013,13,"7,552","7,447","20,452","2,490",,"2,278",93.8,6.2,"$54,952 ",85,20.1,,10.9,"135,720"
77,Lehigh,Southeast,2013,108,"20,676","21,777","62,459","10,716",,"6,715",92.2,7.8,"$53,722 ",86.9,29.2,,14.8,"355,634"
79,Luzerne,Northeast,2013,60,"26,102","26,626","63,362","10,227",,"4,443",90.6,9.4,"$44,734 ",89.1,22.4,,16.4,"319,745"
81,Lycoming,Northeast,2013,39,"7,296","7,415","19,827","3,407",,"1,578",92.2,7.8,"$46,663 ",89.1,19,,13.5,"116,577"
83,McKean,Northeast,2013,15,"3,330","3,412","9,031","1,748",,565,91.8,8.2,"$41,653 ",89.3,15.1,,-,"42,731"
85,Mercer,West,2013,40,"9,619","9,757","23,496","4,272",,"1,323",92.8,7.2,"$43,936 ",90.3,20.5,,13.1,"115,170"
91,Montgomery,Southeast,2013,81,"23,491","25,222","72,783","8,387",,"9,801",94.1,5.9,"$77,021 ",93.7,46.6,,6.8,"812,838"
95,Northampton,Southeast,2013,45,"13,598","14,173","39,273","6,048",,"4,541",92.6,7.4,"$59,605 ",90.1,27.7,,9.9,"299,194"
101,Philadelphia,Southeast,2013,"6,854","236,048","243,370","520,509","112,075",,"24,872",89.7,10.3,"$36,918 ",82.2,25.2,,26.3,"1,558,109"
107,Schuylkill,Northeast,2013,7,"10,522","10,577","26,473","3,919",,"2,230",90.8,9.2,"$41,514 ",87.3,15.1,,13.3,"146,490"
125,Washington,West,2013,17,"11,886","12,195","29,920","5,489",,"2,721",93.1,6.9,"$54,919 ",91.2,26.9,,10.8,"207,992"
129,Westmoreland,West,2013,48,"20,995","21,597","53,018","8,918",,"5,206",93,7,"$51,412 ",92.4,26.9,,10.6,"360,804"
133,York,Southeast,2013,118,"22,251","23,512","61,377","8,673",,"7,515",93.3,6.7,"$56,963 ",88.2,21.9,,11,"438,926"
3,Allegheny,West,2014,"1,610","83,762","85,168","194,823","35,830",,"12,340",94.6,5.4,"$52,385 ",93.9,37.7,,13.3,"1,233,480"
7,Beaver,West,2014,34,"12,645","12,725","29,614","4,829",,"2,201",93.5,6.5,"$51,041 ",92.6,22.4,,11.4,"169,185"
11,Berks,West,2014,138,"28,233","28,793","75,232","10,643",,"6,278",94.5,5.5,"$55,936 ",85.8,23.1,,14.7,"414,642"
13,Blair,Central,2014,30,"10,243","10,339","26,546","4,841",,"1,948",94.3,5.7,"$43,343 ",89.2,20,,14.8,"125,502"
17,Bucks,Southeast,2014,40,"19,037","19,484","58,591","7,148",,"7,555",94.8,5.2,"$77,823 ",93.9,37.7,,6.5,"625,806"
19,Butler,West,2014,17,"7,922","7,940","20,944","3,395",,"2,287",94.9,5.1,"$60,851 ",93.2,31.7,,,"185,701"
